,etat,marque,prix_euro,couleur,taille_ecran_pouce,capacite_stockage_Go,megapixel,systeme_exploitation,resolution_ecran,reseau,date_de_sortie,memoire,connecteur,double_sim,port_carte_SD,pliable,poids_g
504,État correct,samsung,579.0,gris,6.2,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Oui,Non,Non,169
505,Très bon état,samsung,655.0,gris,6.2,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Oui,Non,Non,169
506,Parfait état,samsung,690.0,gris,6.2,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Oui,Non,Non,169
507,État correct,apple,170.0,gris sidéral,5.5,128.0,12,iOS,1080x1920,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,192
508,Très bon état,samsung,307.9,noir,6.2,64.0,12,Android,1440x2960,4G,2018,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,189
509,État correct,samsung,450.0,argent stellaire,6.8,256.0,12,Android,1440x3040,4G,2019,12.0,USB-C,Non,Oui,Non,196
510,Très bon état,samsung,508.0,argent stellaire,6.8,256.0,12,Android,1440x3040,4G,2019,12.0,USB-C,Non,Oui,Non,196
511,Parfait état,samsung,534.0,argent stellaire,6.8,256.0,12,Android,1440x3040,4G,2019,12.0,USB-C,Non,Oui,Non,196
512,État correct,apple,145.0,or rose,4.7,32.0,12,iOS,750x1334,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,143
513,État correct,samsung,199.0,argent,5.1,32.0,12,Android,1440x2560,4G,2016,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,152
514,Très bon état,samsung,199.0,argent,5.1,32.0,12,Android,1440x2560,4G,2016,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,152
515,Parfait état,samsung,175.0,argent,5.1,32.0,12,Android,1440x2560,4G,2016,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,152
516,État correct,samsung,480.0,gris,6.7,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,186
517,Très bon état,samsung,510.0,gris,6.7,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,186
518,Parfait état,samsung,524.0,gris,6.7,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,186
519,Parfait état,samsung,184.0,bleu,6.5,64.0,48,Android,720x1600,4G,2020,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,205
520,État correct,huawei,199.0,noir,6.1,128.0,40,Android,1080x2240,4G,2018,6.0,USB-C,Oui,Non,Non,180
521,Très bon état,huawei,219.0,noir,6.1,128.0,40,Android,1080x2240,4G,2018,6.0,USB-C,Oui,Non,Non,180
522,Parfait état,huawei,298.0,noir,6.1,128.0,40,Android,1080x2240,4G,2018,6.0,USB-C,Oui,Non,Non,180
523,Très bon état,samsung,569.99,noir prisme,6.4,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Non,Non,175
524,Parfait état,samsung,352.0,noir prisme,6.4,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Non,Non,175
525,État correct,apple,462.0,argent,6.5,256.0,12,iOS,1242x2688,4G,2018,4.0,Lightning,Non,Non,Non,208
526,Très bon état,apple,549.0,argent,6.5,256.0,12,iOS,1242x2688,4G,2018,4.0,Lightning,Non,Non,Non,208
527,Parfait état,apple,547.0,argent,6.5,256.0,12,iOS,1242x2688,4G,2018,4.0,Lightning,Non,Non,Non,208
528,État correct,apple,590.0,vert,5.4,64.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
529,Très bon état,apple,610.0,vert,5.4,64.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
530,Parfait état,apple,660.0,vert,5.4,64.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
531,Très bon état,apple,677.0,mauve,5.4,64.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,133
532,Parfait état,apple,640.0,mauve,5.4,64.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,133
533,État correct,samsung,599.0,noir,6.9,128.0,108,Android,1440x3200,5G,2020,12.0,USB-C,Oui,Oui,Non,222
534,Très bon état,samsung,648.0,noir,6.9,128.0,108,Android,1440x3200,5G,2020,12.0,USB-C,Oui,Oui,Non,222
535,Parfait état,samsung,700.0,noir,6.9,128.0,108,Android,1440x3200,5G,2020,12.0,USB-C,Oui,Oui,Non,222
536,Parfait état,samsung,89.0,noir,5.0,8.0,8,Android,720x1280,4G,2016,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,138
537,Très bon état,samsung,219.0,noir carbone,6.2,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,173
538,Parfait état,samsung,225.0,noir carbone,6.2,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,173
539,Parfait état,samsung,125.0,or (sunrise gold),5.0,8.0,8,Android,720x1280,4G,2016,15.0,micro USB + Jack 3.5mm,Non,Oui,Non,138
540,État correct,samsung,98.0,noir,5.2,16.0,13,Android,720x1280,4G,2016,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,149
541,Très bon état,samsung,119.0,noir,5.2,16.0,13,Android,720x1280,4G,2016,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,149
542,État correct,samsung,489.0,rose,6.2,128.0,64,Android,1440x3200,4G,2020,12.0,USB-C,Oui,Oui,Non,163
543,Très bon état,samsung,499.0,rose,6.2,128.0,64,Android,1440x3200,4G,2020,12.0,USB-C,Oui,Oui,Non,163
544,Parfait état,samsung,519.0,rose,6.2,128.0,64,Android,1440x3200,4G,2020,12.0,USB-C,Oui,Oui,Non,163
545,État correct,samsung,248.79,argent,6.2,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,173
546,Très bon état,samsung,233.0,argent,6.2,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,173
547,Parfait état,samsung,216.0,argent,6.2,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,173
548,État correct,sony,185.0,argent,6.0,64.0,19,Android,1440x2880,4G,2018,4.0,USB-C,Non,Oui,Non,193
549,Parfait état,sony,183.0,argent,6.0,64.0,19,Android,1440x2880,4G,2018,4.0,USB-C,Non,Oui,Non,193
550,État correct,samsung,227.0,noir,6.7,128.0,32,Android,1080x2400,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,183
551,Très bon état,samsung,265.0,noir,6.7,128.0,32,Android,1080x2400,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,183
552,Parfait état,samsung,259.0,noir,6.7,128.0,32,Android,1080x2400,4G,2019,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,183
553,État correct,apple,450.0,noir,6.1,256.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
554,Très bon état,apple,481.0,noir,6.1,256.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
555,Parfait état,apple,566.0,noir,6.1,256.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
556,État correct,oppo,445.0,noir,6.7,512.0,48,Android,1440x3168,5G,2020,12.0,USB-C,Non,Non,Non,217
557,Très bon état,oppo,469.0,noir,6.7,512.0,48,Android,1440x3168,5G,2020,12.0,USB-C,Non,Non,Non,217
558,Parfait état,oppo,487.0,noir,6.7,512.0,48,Android,1440x3168,5G,2020,12.0,USB-C,Non,Non,Non,217
559,État correct,samsung,326.0,blanc,6.4,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,175
560,Très bon état,samsung,350.0,blanc,6.4,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,175
561,Parfait état,samsung,359.0,blanc,6.4,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,175
562,Très bon état,samsung,328.0,corail,6.1,128.0,16,Android,1440x3040,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,157
563,Parfait état,samsung,335.0,corail,6.1,128.0,16,Android,1440x3040,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,157
564,État correct,apple,131.0,or rose,4.7,16.0,12,iOS,750x1334,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,143
565,Parfait état,apple,159.0,or rose,4.7,16.0,12,iOS,750x1334,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,143
566,État correct,apple,235.0,or rose,5.5,32.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
567,Parfait état,apple,289.0,or rose,5.5,32.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
568,État correct,samsung,464.8,bleu,6.2,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,163
569,Très bon état,samsung,509.0,bleu,6.2,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,163
570,Parfait état,samsung,579.0,bleu,6.2,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,163
571,Très bon état,apple,207.64,or,4.7,64.0,12,iOS,750x1334,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,143
572,Parfait état,apple,209.0,or,4.7,64.0,12,iOS,750x1334,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,143
573,Très bon état,samsung,279.0,argent polaire,6.2,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,173
574,Parfait état,samsung,236.0,argent polaire,6.2,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,173
575,Très bon état,samsung,149.0,bleu,6.5,32.0,48,Android,720x1600,4G,2020,3.0,USB-C + Jack 3.5mm,Oui,Oui,Non,192
576,État correct,samsung,279.99,noir,6.5,128.0,48,Android,720x1600,5G,2021,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,205
577,Très bon état,samsung,320.0,noir,6.5,128.0,48,Android,720x1600,5G,2021,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,205
578,Parfait état,samsung,312.0,noir,6.5,128.0,48,Android,720x1600,5G,2021,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,205
579,État correct,samsung,488.0,noir,6.7,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,186
580,Très bon état,samsung,515.0,noir,6.7,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,186
581,Parfait état,samsung,529.0,noir,6.7,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,186
582,État correct,samsung,225.0,noir,6.3,64.0,12,Android,1440x2960,4G,2017,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,195
583,Très bon état,samsung,243.0,noir,6.3,64.0,12,Android,1440x2960,4G,2017,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,195
584,Parfait état,samsung,299.0,noir,6.3,64.0,12,Android,1440x2960,4G,2017,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,195
585,État correct,huawei,159.0,bleu,5.84,64.0,16,Android,1080x2280,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,145
586,Parfait état,huawei,162.0,bleu,5.84,64.0,16,Android,1080x2280,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,145
587,État correct,apple,847.0,or,6.1,128.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
588,Très bon état,apple,918.0,or,6.1,128.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
589,Parfait état,apple,108.0,or,6.1,128.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
590,Parfait état,oppo,229.0,blanc,6.57,128.0,48,Android,1080x2400,5G,2020,8.0,USB-C + Jack 3.5mm,Oui,Non,Non,184
591,État correct,apple,429.0,rouge,6.1,256.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
592,Très bon état,apple,459.0,rouge,6.1,256.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
593,Parfait état,apple,500.0,rouge,6.1,256.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
594,État correct,sony,185.0,vert,6.0,64.0,19,Android,1440x2880,4G,2018,4.0,USB-C,Non,Oui,Non,193
595,Parfait état,sony,181.0,vert,6.0,64.0,19,Android,1440x2880,4G,2018,4.0,USB-C,Non,Oui,Non,193
596,État correct,huawei,239.0,noir,6.3,128.0,40,Android,1080x2340,4G,2018,6.0,USB-C,Oui,Oui,Non,189
597,Parfait état,huawei,319.0,noir,6.3,128.0,40,Android,1080x2340,4G,2018,6.0,USB-C,Oui,Oui,Non,189
598,Parfait état,samsung,500.79,argent stellaire,6.3,256.0,12,Android,1080x2280,4G,2019,8.0,USB-C,Non,Non,Non,168
599,État correct,samsung,159.99,noir,5.6,32.0,13,Android,720x1480,4G,2018,3.0,micro USB + Jack 3.5mm,Oui,Oui,Non,154
600,Très bon état,samsung,139.0,noir,5.6,32.0,13,Android,720x1480,4G,2018,3.0,micro USB + Jack 3.5mm,Oui,Oui,Non,154
601,Parfait état,samsung,189.0,noir,5.6,32.0,13,Android,720x1480,4G,2018,3.0,micro USB + Jack 3.5mm,Oui,Oui,Non,154
602,Parfait état,samsung,238.0,rose pourpre,6.2,64.0,12,Android,1440x2960,4G,2018,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,189
603,État correct,samsung,522.0,noir,6.7,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,188
604,Très bon état,samsung,537.0,noir,6.7,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,188
605,Parfait état,samsung,549.0,noir,6.7,128.0,64,Android,1440x3200,5G,2020,12.0,USB-C,Non,Oui,Non,188
606,État correct,apple,825.0,argent,6.5,256.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
607,Très bon état,apple,800.0,argent,6.5,256.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
608,Parfait état,apple,849.99,argent,6.5,256.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
609,État correct,apple,939.0,or,6.1,256.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
610,Très bon état,apple,996.44,or,6.1,256.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
611,État correct,samsung,97.75,noir,5.1,16.0,16,Android,1080x1920,4G,2014,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,130
612,Très bon état,samsung,105.0,noir,5.1,16.0,16,Android,1080x1920,4G,2014,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,130
613,Parfait état,samsung,151.0,noir,5.1,16.0,16,Android,1080x1920,4G,2014,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,130
614,État correct,huawei,339.0,bleu aurore,6.4,128.0,40,Android,1080x2340,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,192
615,Très bon état,huawei,350.0,bleu aurore,6.4,128.0,40,Android,1080x2340,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,192
616,Parfait état,huawei,391.0,bleu aurore,6.4,128.0,40,Android,1080x2340,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,192
617,État correct,apple,660.0,rouge,5.4,128.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
618,Très bon état,apple,700.0,rouge,5.4,128.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
619,Parfait état,apple,722.0,rouge,5.4,128.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
620,État correct,apple,648.0,vert,5.4,128.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
621,Très bon état,apple,700.0,vert,5.4,128.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
622,Parfait état,apple,682.0,vert,5.4,128.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
623,État correct,samsung,135.0,noir,5.6,32.0,16,Android,720x1480,4G,2018,3.0,micro USB + Jack 3.5mm,Oui,Oui,Non,162
624,Très bon état,samsung,140.8,noir,5.6,32.0,16,Android,720x1480,4G,2018,3.0,micro USB + Jack 3.5mm,Oui,Oui,Non,162
625,Parfait état,samsung,137.0,noir,5.6,32.0,16,Android,720x1480,4G,2018,3.0,micro USB + Jack 3.5mm,Oui,Oui,Non,162
626,État correct,huawei,157.0,noir,5.8,128.0,12,Android,1080x2240,4G,2018,4.0,USB-C,Non,Non,Non,165
627,Très bon état,huawei,224.0,noir,5.8,128.0,12,Android,1080x2240,4G,2018,4.0,USB-C,Non,Non,Non,165
628,Parfait état,huawei,284.0,noir,5.8,128.0,12,Android,1080x2240,4G,2018,4.0,USB-C,Non,Non,Non,165
629,État correct,samsung,374.0,blanc prisme,6.4,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,175
630,Parfait état,samsung,393.8,blanc prisme,6.4,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,175
631,État correct,huawei,210.0,blanc,6.15,128.0,48,Android,1080x2312,4G,2019,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,159
632,Très bon état,huawei,239.0,blanc,6.15,128.0,48,Android,1080x2312,4G,2019,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,159
633,Parfait état,huawei,239.0,blanc,6.15,128.0,48,Android,1080x2312,4G,2019,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,159
634,État correct,samsung,312.04,blanc,6.5,128.0,48,Android,1080x2400,4G,2019,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,172
635,Très bon état,samsung,323.64,blanc,6.5,128.0,48,Android,1080x2400,4G,2019,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,172
636,Parfait état,samsung,346.08,blanc,6.5,128.0,48,Android,1080x2400,4G,2019,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,172
637,État correct,samsung,329.0,blanc,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,157
638,Très bon état,samsung,376.8,blanc,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,157
639,Parfait état,samsung,381.0,blanc,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Oui,Oui,Non,157
640,Parfait état,samsung,276.0,or,5.8,64.0,12,Android,1440x2960,4G,2017,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,155
641,État correct,xiaomi,369.0,noir,6.55,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Oui,Oui,Non,159
642,Parfait état,xiaomi,341.0,noir,6.55,128.0,64,Android,1080x2400,5G,2021,8.0,USB-C,Oui,Oui,Non,159
643,État correct,huawei,269.0,nacré,6.1,128.0,40,Android,1080x2340,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,165
644,Très bon état,huawei,389.99,nacré,6.1,128.0,40,Android,1080x2340,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,165
645,Très bon état,apple,820.0,vert,6.1,128.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
646,Parfait état,apple,830.0,vert,6.1,128.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
647,État correct,apple,849.0,argent,6.1,128.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
648,Très bon état,apple,899.0,argent,6.1,128.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
649,Parfait état,apple,122.0,argent,6.1,128.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
650,État correct,apple,361.0,or,5.5,256.0,12,iOS,1080x1920,4G,2017,3.0,Lightning,Non,Non,Non,202
651,Très bon état,apple,347.0,or,5.5,256.0,12,iOS,1080x1920,4G,2017,3.0,Lightning,Non,Non,Non,202
652,État correct,apple,170.0,gris sidéral,5.5,32.0,12,iOS,1080x1920,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,192
653,Très bon état,apple,198.0,gris sidéral,5.5,32.0,12,iOS,1080x1920,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,192
654,Parfait état,xiaomi,280.0,gris,6.67,128.0,64,Android,1080x2400,5G,2020,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,214
655,Très bon état,samsung,110.0,or (sunrise gold),4.0,16.0,13,Android,720x1280,4G,2017,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,138
656,Parfait état,samsung,173.99,or (sunrise gold),4.0,16.0,13,Android,720x1280,4G,2017,2.0,micro USB + Jack 3.5mm,Non,Oui,Non,138
657,État correct,apple,264.0,argent,5.5,128.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
658,Très bon état,apple,333.0,argent,5.5,128.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
659,Parfait état,apple,373.0,argent,5.5,128.0,12,iOS,1080x1920,4G,2016,3.0,Lightning,Non,Non,Non,188
660,État correct,samsung,571.9,noir,6.8,256.0,12,Android,1440x3040,4G,2019,12.0,USB-C,Non,Oui,Non,196
661,Très bon état,samsung,509.0,noir,6.8,256.0,12,Android,1440x3040,4G,2019,12.0,USB-C,Non,Oui,Non,196
662,Parfait état,samsung,499.0,noir,6.8,256.0,12,Android,1440x3040,4G,2019,12.0,USB-C,Non,Oui,Non,196
663,État correct,samsung,103.0,noir,4.7,16.0,13,Android,720x1280,4G,2017,2.0,USB-C + Jack 3.5mm,Non,Oui,Non,138
664,Très bon état,samsung,129.0,noir,4.7,16.0,13,Android,720x1280,4G,2017,2.0,USB-C + Jack 3.5mm,Non,Oui,Non,138
665,Parfait état,samsung,241.99,noir,4.7,16.0,13,Android,720x1280,4G,2017,2.0,USB-C + Jack 3.5mm,Non,Oui,Non,138
666,État correct,samsung,400.0,noir,6.5,128.0,64,Android,1080x2400,5G,2021,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,189
667,Très bon état,samsung,420.0,noir,6.5,128.0,64,Android,1080x2400,5G,2021,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,189
668,Parfait état,samsung,376.0,noir,6.5,128.0,64,Android,1080x2400,5G,2021,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,189
669,État correct,samsung,299.0,noir,6.7,128.0,12,Android,1080x2400,4G,2020,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,199
670,Très bon état,samsung,329.0,noir,6.7,128.0,12,Android,1080x2400,4G,2020,6.0,USB-C + Jack 3.5mm,Oui,Oui,Non,199
671,État correct,samsung,325.0,rouge,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,157
672,Parfait état,samsung,349.0,rouge,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,157
673,État correct,samsung,500.0,gris cosmique,6.2,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,163
674,Très bon état,samsung,520.0,gris cosmique,6.2,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,163
675,Parfait état,samsung,557.0,gris cosmique,6.2,128.0,64,Android,1440x3200,4G,2020,8.0,USB-C,Oui,Oui,Non,163
676,État correct,samsung,500.0,bleu,6.2,128.0,64,Android,1440x3200,4G,2020,12.0,USB-C,Oui,Oui,Non,163
677,Très bon état,samsung,491.0,bleu,6.2,128.0,64,Android,1440x3200,4G,2020,12.0,USB-C,Oui,Oui,Non,163
678,Parfait état,samsung,568.0,bleu,6.2,128.0,64,Android,1440x3200,4G,2020,12.0,USB-C,Oui,Oui,Non,163
679,Parfait état,samsung,163.0,bleu,6.5,32.0,48,Android,720x1600,4G,2020,3.0,USB-C + Jack 3.5mm,Oui,Oui,Non,205
680,État correct,apple,202.0,noir,4.7,256.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
681,Très bon état,apple,255.0,noir,4.7,256.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
682,État correct,huawei,275.0,noir,6.1,128.0,40,Android,1080x2340,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,165
683,Parfait état,huawei,356.0,noir,6.1,128.0,40,Android,1080x2340,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,165
684,État correct,samsung,169.0,noir,5.6,32.0,16,Android,1080x2220,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,172
685,Très bon état,samsung,204.0,noir,5.6,32.0,16,Android,1080x2220,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,172
686,Parfait état,samsung,249.0,noir,5.6,32.0,16,Android,1080x2220,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,172
687,État correct,samsung,265.64,bleu corail,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,163
688,Très bon état,samsung,284.0,bleu corail,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,163
689,Parfait état,samsung,253.0,bleu corail,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Oui,Oui,Non,163
690,Parfait état,apple,399.0,rouge,5.5,256.0,12,iOS,1080x1920,4G,2017,3.0,Lightning,Non,Non,Non,202
691,État correct,apple,610.0,blanc,6.1,256.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
692,Très bon état,apple,666.0,blanc,6.1,256.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
693,État correct,samsung,99.0,noir,4.5,16.0,8,Android,540x960,4G,2015,15.0,micro USB + Jack 3.5mm,Non,Oui,Non,120
694,Très bon état,samsung,139.0,noir,4.5,16.0,8,Android,540x960,4G,2015,15.0,micro USB + Jack 3.5mm,Non,Oui,Non,120
695,État correct,apple,148.0,or rose,4.0,64.0,12,iOS,640x1136,4G,2016,2.0,Lightning + Jack 3.5mm,Non,Non,Non,113
696,État correct,oneplus,286.0,bleu,6.6,256.0,48,Android,1440x3120,4G,2019,8.0,USB-C,Oui,Oui,Non,206
697,Très bon état,oneplus,318.0,bleu,6.6,256.0,48,Android,1440x3120,4G,2019,8.0,USB-C,Oui,Oui,Non,206
698,Parfait état,oneplus,365.0,bleu,6.6,256.0,48,Android,1440x3120,4G,2019,8.0,USB-C,Oui,Oui,Non,206
699,État correct,samsung,484.0,argent,6.8,256.0,16,Android,1440x3040,4G,2019,12.0,USB-C,Oui,Oui,Non,196
700,Très bon état,samsung,469.0,argent,6.8,256.0,16,Android,1440x3040,4G,2019,12.0,USB-C,Oui,Oui,Non,196
701,Parfait état,samsung,499.0,argent,6.8,256.0,16,Android,1440x3040,4G,2019,12.0,USB-C,Oui,Oui,Non,196
702,État correct,samsung,155.0,noir,6.2,32.0,13,Android,720x1520,4G,2019,2.0,micro USB + Jack 3.5mm,Oui,Oui,Non,168
